id,Sentence,NER Tag
5659,"['A', 'spokeswoman', 'for', 'the', 'U.N.', 'World', 'Food', 'Program', ',', 'Christiane', 'Berthiaume', ',', 'said', 'Tuesday', 'relief', 'agencies', 'are', 'looking', 'for', 'alternative', 'ways', 'to', 'provide', 'aid', 'to', 'Lebanese', 'civilians', 'cut', 'off', 'by', 'heavy', 'fighting', '.']","['O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'O', 'B-per', 'I-per', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5660,"['Aid', 'officials', 'say', 'road', 'transport', 'is', 'too', 'dangerous', 'after', 'the', 'Israeli', 'military', 'warned', 'it', 'would', 'strike', 'any', 'vehicle', 'traveling', 'south', 'of', 'the', 'Litani', 'River', 'on', 'suspicion', 'of', 'transporting', 'weapons', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O']"
5661,"['The', 'U.N.', 'spokeswoman', 'said', 'there', 'are', 'hundreds', 'of', 'thousands', 'of', 'people', 'who', 'need', 'aid', 'in', 'Lebanon', '.']","['O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
5662,"['The', 'World', 'Food', 'Program', 'has', 'brought', '404', 'tons', 'of', 'food', 'into', 'the', 'region', ',', 'but', 'she', 'said', 'that', 'is', 'not', 'enough', '.']","['O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5663,"['The', 'U.N.', 'human', 'rights', 'chief', 'says', 'Sudanese', 'authorities', 'are', 'restricting', 'press', 'freedoms', 'and', 'making', 'arbitrary', 'arrests', ',', 'as', 'a', 'referendum', 'approaches', 'on', 'the', 'independence', 'of', 'south', 'Sudan', '.']","['O', 'B-org', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
5664,"['Navi', 'Pillay', 'said', 'it', 'is', 'important', 'the', 'referendum', 'is', 'free', 'and', 'fair', ',', 'calling', 'it', 'a', 'critical', 'moment', 'in', 'Sudan', ""'s"", 'history', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O']"
5665,"['She', 'urged', 'the', 'governments', 'of', 'Sudan', 'and', 'south', 'Sudan', 'to', 'quickly', 'halt', 'efforts', 'to', 'intimidate', 'voters', 'or', 'taint', 'the', 'result', 'of', 'the', 'referendum', ',', 'which', 'begins', 'on', 'Sunday', '.']","['O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
5666,"['Nearly', '4', 'million', 'southern', 'Sudanese', 'are', 'registered', 'to', 'vote', 'in', 'the', 'referendum', ',', 'which', 'will', 'allow', 'voters', 'to', 'secede', 'or', 'remain', 'united', 'with', 'the', 'north', '.']","['O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5667,"['The', 'vote', 'is', 'expected', 'to', 'split', 'Africa', ""'s"", 'largest', 'country', 'in', 'two', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
5668,"['The', 'rate', 'of', 'amputation', 'is', '10', 'times', 'higher', 'among', 'those', 'who', 'suffer', 'from', 'the', 'disease', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5669,"['The', 'U.N.', 'refugee', 'agency', 'says', 'Jordan', 'has', 'about', '7,50,000', 'Iraqi', 'refugees', ',', 'while', '1.4', 'million', 'Iraqis', 'have', 'fled', 'to', 'Syria', 'in', 'recent', 'years', '.']","['O', 'B-org', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'B-geo', 'O', 'B-tim', 'O', 'O']"
5670,"['The', 'referendum', 'is', 'the', 'centerpiece', 'of', 'the', '2005', 'peace', 'deal', 'that', 'ended', 'Sudan', ""'s"", 'north-south', 'civil', 'war', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O']"
5671,"['U.S.', 'President', 'George', 'Bush', 'Tuesday', 'thanked', 'troops', 'who', 'are', 'back', 'from', 'Iraq', 'and', 'Afghanistan', ',', 'where', 'he', 'said', ',', 'thanks', 'to', 'their', 'sacrifices', ',', '""', 'the', 'forces', 'of', 'freedom', 'and', 'liberty', 'will', 'prevail', '.', '""']","['B-org', 'B-per', 'I-per', 'I-per', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5672,"['Mr.', 'Bush', 'addressed', 'about', '7,500', 'military', 'personnel', 'at', 'Fort', 'Campbell', ',', 'in', 'the', 'central', 'U.S.', 'state', 'of', 'Kentucky', 'two', 'days', 'before', 'the', 'Thanksgiving', 'Day', 'holiday', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'B-per', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-tim', 'I-tim', 'O', 'B-tim', 'O', 'B-tim', 'I-tim', 'I-tim', 'O']"
5673,"['About', '10,000', 'Fort', 'Campbell', 'troops', 'have', 'returned', 'from', 'the', 'wars', 'in', 'Afghanistan', 'and', 'Iraq', 'since', 'October', '.']","['O', 'O', 'B-art', 'I-art', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'B-tim', 'I-tim', 'O']"
5674,"['Others', 'troops', 'are', 'scheduled', 'to', 'depart', 'for', 'the', 'regions', 'in', 'the', 'coming', 'week', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5675,"['Mr.', 'Bush', 'told', 'the', 'men', 'and', 'women', 'that', 'they', 'have', 'earned', 'the', 'thanks', 'of', 'every', 'American', 'for', 'a', '""', 'job', 'well', 'done', '.', '""']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5676,"['He', 'credited', 'the', 'troops', 'with', 'taking', 'the', 'fight', 'against', 'terrorism', 'overseas', 'so', 'that', 'Americans', 'do', 'not', 'have', 'to', 'face', 'the', 'threat', 'at', 'home', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5677,"['A', 'senior', 'Afghan', 'intelligence', 'official', 'says', 'a', 'military', 'aircraft', 'crashed', 'in', 'the', 'country', ""'s"", 'northern', 'region', 'Thursday', '.']","['O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
5678,"['Provincial', 'intelligence', 'chief', 'Abdul', 'Majid', 'Azimi', 'says', 'the', 'aircraft', 'went', 'down', 'in', 'the', 'mountains', 'of', 'Afghanistan', ""'s"", 'Baghlan', 'province', '.']","['O', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O']"
5679,"['He', 'says', 'it', 'is', 'unclear', 'if', 'the', 'aircraft', 'involved', 'is', 'a', 'helicopter', 'or', 'a', 'plane', 'or', 'to', 'whom', 'it', 'belonged', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5680,"['The', 'agency', 'has', 'warned', 'that', 'Iraqi', 'refugees', 'in', 'Syria', 'and', 'Jordan', 'are', 'putting', 'severe', 'strains', 'on', 'healthcare', ',', 'education', 'systems', 'and', 'housing', '.']","['O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'B-geo', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5681,"['A', 'spokesman', 'for', 'NATO', ""'s"", 'international', 'coalition', 'in', 'Afghanistan', '(', 'International', 'Security', 'Assistance', 'Force', 'or', 'ISAF', ')', 'says', 'there', 'were', 'no', 'immediate', 'reports', 'of', 'a', 'crash', 'involving', 'any', 'of', 'its', 'aircraft', '.']","['O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5682,"['British', 'anti-terror', 'police', 'have', 'arrested', 'six', 'Muslim', 'men', 'in', 'a', 'series', 'of', 'London', 'raids', ',', 'on', 'suspicion', 'of', 'raising', 'funds', 'for', 'terrorists', 'and', 'inciting', 'others', 'to', 'commit', 'acts', 'of', 'terrorism', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5683,"['One', 'of', 'the', 'suspects', ',', 'identified', 'as', 'radical', 'Muslim', 'Abu', 'Izzadeen', ',', 'was', 'widely', 'known', 'in', 'Britain', 'for', 'heckling', 'Home', 'Secretary', 'John', 'Reid', 'last', 'year', 'in', 'a', 'televised', 'public', 'meeting', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5684,"['A', 'spokesman', ',', 'Anjem', 'Choudary', ',', 'for', 'the', 'banned', 'Islamic', 'militant', 'group', 'al-Ghurabaa', 'confirmed', 'Izzadeen', ""'s"", 'arrest', 'Tuesday', '.']","['O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'B-tim', 'O']"
5685,"['Izzadeen', ',', 'a', 'Muslim', 'convert', 'and', 'former', 'electrician', ',', 'was', 'arrested', 'and', 'released', 'on', 'bail', 'earlier', 'this', 'year', 'in', 'a', 'separate', 'case', 'alleging', 'that', 'he', 'encouraged', 'terrorism', '.']","['B-per', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5686,"['Police', 'say', 'the', 'suspects', ',', 'aged', 'between', '21', 'and', '35', ',', 'are', 'in', 'custody', 'at', 'a', 'London', 'police', 'precinct', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O']"
5687,"['Authorities', 'also', 'say', 'other', 'searches', 'in', 'connection', 'with', 'the', 'probe', 'are', 'ongoing', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5688,"['Turkish', 'officials', 'say', 'three', 'people', 'were', 'killed', 'Wednesday', 'at', 'a', 'publishing', 'house', 'that', 'printed', 'Bibles', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5689,"['They', 'say', 'the', 'attackers', 'slit', 'the', 'throats', 'of', 'the', 'victims', 'at', 'the', 'Zirve', 'publishing', 'house', 'in', 'the', 'city', 'of', 'Malatya', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
5690,"['A', 'fourth', 'person', 'was', 'injured', 'when', 'he', 'jumped', 'out', 'of', 'window', 'to', 'escape', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5691,"['Greek', 'journalists', 'and', 'public', 'transportation', 'workers', 'are', 'stopping', 'work', 'in', 'the', 'latest', 'round', 'of', 'strikes', 'protesting', 'Greece', ""'s"", 'economic', 'austerity', 'measures', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O']"
5692,"['The', 'publisher', 'had', 'received', 'threats', 'for', 'printing', 'Bibles', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5693,"['Officials', 'say', 'police', 'are', 'questioning', 'several', 'people', 'in', 'relation', 'to', 'the', 'attack', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5694,"['Turkish', 'television', 'showed', 'police', 'wrestling', 'a', 'man', 'to', 'the', 'ground', 'outside', 'the', 'building', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5695,"['The', 'attack', 'is', 'the', 'latest', 'on', 'Turkey', ""'s"", 'small', 'Christian', 'minority', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O']"
5696,"['Last', 'year', ',', 'a', 'Catholic', 'priest', 'was', 'shot', 'and', 'killed', 'in', 'the', 'Black', 'Sea', 'city', 'of', 'Trabzon', '.']","['O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'B-geo', 'O']"
5697,"['Police', 'in', 'Chad', 'Tuesday', 'killed', 'at', 'least', 'one', 'person', 'when', 'they', 'opened', 'fire', 'on', 'a', 'protest', 'by', 'wounded', 'soldiers', 'demanding', 'better', 'medical', 'care', '.']","['O', 'O', 'B-geo', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5698,"['A', 'Defense', 'Ministry', 'official', ',', 'Blabague', 'Marboulaye', ',', 'said', 'Wednesday', 'that', 'the', 'soldiers', 'were', 'demonstrating', 'in', 'front', 'of', 'a', 'military', 'hospital', 'in', 'the', 'capital', ',', ""N'Djamena"", '.']","['O', 'B-org', 'I-org', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
5699,"['The', 'official', 'said', 'the', 'troops', 'were', 'disruptive', 'and', 'that', 'the', 'protests', 'had', 'been', 'infiltrated', 'by', 'civilians', 'who', 'wanted', 'to', 'benefit', 'from', 'health', 'services', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5700,"['Police', 'were', 'called', 'in', 'to', 'disperse', 'the', 'protest', ',', 'making', 'several', 'arrests', 'in', 'addition', 'to', 'shooting', 'the', 'demonstrator', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5701,"['Officials', 'say', 'the', 'protests', 'had', 'interrupted', 'operations', 'at', 'the', 'hospital', ',', 'but', 'calm', 'has', 'been', 'restored', 'at', 'the', 'facility', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5702,"['Bus', ',', 'subway', ',', 'and', 'tram', 'services', 'ceased', 'in', 'Greece', ""'s"", 'capital', 'Athens', 'Thursday', ',', 'while', 'Greek', 'journalists', 'stopped', 'radio', 'and', 'television', 'broadcasts', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-geo', 'B-tim', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5703,"['The', 'troops', 'were', 'wounded', 'in', 'combat', 'against', 'rebels', 'in', 'eastern', 'Chad', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
5704,"['The', 'rebels', 'have', 'waged', 'a', 'low-intensity', 'war', 'against', 'the', 'government', 'of', 'President', 'Idriss', 'Deby', 'for', 'the', 'past', 'year', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'B-tim', 'O', 'O']"
5705,"['Separatist', 'politicians', 'from', 'Indian', 'Kashmir', 'are', 'making', 'an', 'unprecedented', 'trip', 'to', 'Pakistani', 'Kashmir', 'for', 'talks', 'on', 'the', 'disputed', 'region', ""'s"", 'future', '.']","['O', 'O', 'O', 'B-gpe', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5706,"['The', 'officials', 'from', 'Indian', 'Kashmir', ""'s"", 'main', 'separatist', 'political', 'alliance', ',', 'the', 'All', 'Parties', 'Hurriyat', 'Conference', ',', 'are', 'using', 'the', 'recently', 'launched', 'bus', 'service', 'between', 'the', 'two', 'regions', '.']","['O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'B-tim', 'I-tim', 'O']"
5707,"['They', 'plan', 'to', 'meet', 'with', 'leaders', 'of', 'Pakistani', 'Kashmir', 'and', 'Pakistan-based', 'rebel', 'groups', 'which', 'have', 'been', 'involved', 'in', 'a', 'violent', 'insurgency', 'in', 'Indian', 'Kashmir', 'for', 'the', 'past', '15', 'years', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'B-geo', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O']"
5708,"['The', 'Hurriyat', 'alliance', 'seeks', 'an', 'independent', 'Kashmir', '.']","['O', 'B-org', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
5709,"['But', 'its', 'hard-line', 'pro-Pakistani', 'splinter', 'group', 'has', 'rejected', 'the', 'invitation', ',', 'accusing', 'Islamabad', 'of', 'diluting', 'its', 'stand', 'over', 'Kashmir', 'and', 'appeasing', 'New', 'Delhi', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-org', 'I-org', 'O']"
5710,"['India', 'has', 'previously', 'denied', 'permission', 'to', 'Hurriyat', 'leaders', 'to', 'visit', 'Pakistan', ',', 'saying', 'the', 'Kashmir', 'dispute', 'is', 'India', ""'s"", 'internal', 'matter', '.']","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O']"
5711,"['The', 'United', 'Nations', 'has', 'condemned', 'alleged', 'abuses', 'by', 'American', 'forces', 'in', 'Afghanistan', ',', 'calling', 'them', '""', 'totally', 'unacceptable', '""', '.']","['O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5712,"['Asked', 'about', 'a', 'report', 'that', 'U.S.', 'troops', 'allegedly', 'burned', 'the', 'bodies', 'of', 'two', 'Taleban', 'fighters', 'to', 'taunt', 'other', 'fighters', ',', 'a', 'U.N.', 'spokesman', 'said', 'such', 'abuses', 'are', 'an', 'affront', 'to', 'the', 'work', 'of', 'the', 'international', 'community', 'in', 'Afghanistan', '.']","['O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
5713,"['Greek', 'newspapers', 'planned', 'not', 'to', 'print', 'Friday', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
5714,"['The', 'United', 'Nations', 'issued', 'a', 'similar', 'statement', 'in', 'May', 'amid', 'claims', 'of', 'abuses', 'of', 'Afghan', 'prisoners', 'by', 'U.S.', 'forces', '.']","['O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'B-geo', 'O', 'O']"
5715,"['Afghan', 'President', 'Hamid', 'Karzai', 'has', 'also', 'condemned', 'the', 'purported', 'burning', 'incident', 'and', 'ordered', 'an', 'inquiry', '.']","['B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5716,"['U.S.', 'Defense', 'Secretary', 'Donald', 'Rumsfeld', 'said', 'the', 'alleged', 'actions', 'do', 'not', 'represent', 'the', 'overwhelmingly', 'positive', 'behavior', 'of', 'the', 'U.S.', 'military', ',', 'adding', 'he', 'wants', 'the', 'U.S.', 'military', 'in', 'Afghanistan', 'to', 'accelerate', 'its', 'own', 'investigation', '.']","['B-org', 'I-org', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O']"
5717,"['The', 'U.S.', 'military', 'in', 'Afghanistan', 'says', 'two', 'American', 'soldiers', 'have', 'been', 'charged', 'with', 'assaulting', 'detainees', 'at', 'a', 'coalition', 'base', 'in', 'Uruzgan', 'province', '.']","['O', 'B-geo', 'O', 'O', 'B-geo', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O']"
5718,"['A', 'statement', 'says', 'the', 'two', 'soldiers', 'allegedly', 'punched', 'two', 'detainees', 'on', 'the', 'chest', ',', 'shoulders', 'and', 'stomach', ',', 'but', 'that', 'neither', 'detainee', 'required', 'medical', 'attention', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5719,"['The', 'charges', 'come', '10', 'days', 'after', 'the', 'U.S.', 'military', 'began', 'an', 'investigation', 'into', 'allegations', 'that', 'American', 'soldiers', 'burned', 'the', 'bodies', 'of', 'two', 'Taleban', 'fighters', 'and', 'used', 'the', 'act', 'to', 'taunt', 'other', 'fighters', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5720,"['Australian', 'television', 'aired', 'a', 'video', 'purportedly', 'showing', 'the', 'soldiers', 'burning', 'the', 'bodies', 'of', 'the', 'fighters', 'they', 'had', 'killed', 'near', 'the', 'former', 'Taleban', 'stronghold', 'of', 'Kandahar', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'B-geo', 'O']"
5721,"['Cremation', 'of', 'corpses', 'is', 'banned', 'in', 'the', 'Islamic', 'faith', 'and', 'the', 'alleged', 'desecration', 'sparked', 'outrage', 'in', 'Afghanistan', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
5722,"['A', 'top', 'U.S.', 'official', 'says', '""', 'uncertainties', '""', 'about', 'how', 'China', 'will', 'use', 'its', 'increasing', 'power', 'may', 'inhibit', 'its', 'relations', 'with', 'other', 'countries', ',', 'including', 'the', 'United', 'States', '.']","['O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
5723,"['Deputy', 'Secretary', 'of', 'State', 'Robert', 'Zoellick', 'addressed', 'the', 'National', 'Committee', 'on', 'U.S.', '-', 'China', 'Relations', 'Wednesday', 'in', 'New', 'York', '.']","['O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'B-org', 'I-org', 'O', 'B-geo', 'O', 'B-geo', 'I-geo', 'B-tim', 'O', 'B-geo', 'I-geo', 'O']"
5724,"['Greece', 'has', 'seen', 'several', 'rounds', 'of', 'labor', 'strikes', 'since', 'the', 'government', 'earlier', 'this', 'year', 'began', 'to', 'raise', 'taxes', ',', 'freeze', 'civil', 'service', 'pay', ',', 'and', 'cut', 'pensions', 'in', 'efforts', 'to', 'decrease', 'the', 'country', ""'s"", 'massive', 'debt', '.']","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
